small_loss_estimate_clean,confidence_estimate_clean,gmm_estimate_clean,Image Name,Label,small_loss_score
0,0,0,img_37cdf731-ae5b-4dcb-8c7b-d595e7324fb0.jpg,4,0.9548296
0,1,1,img_570bb232-e416-4ed6-908a-bc66412d1a1c.jpg,6,0.8520438
0,0,0,img_45389146-1ade-4678-a635-6b76f7a22ad7.jpg,0,0.7657243
0,1,0,img_52c783df-5462-4225-aa96-c7b7d111706c.jpg,4,0.880562
0,0,1,img_133e51d0-4aa3-4fe5-99ef-3dfe6cfe933c.jpg,4,0.9045747
0,0,1,img_999a8f68-6fc0-4839-8f74-3bc4bf0de326.jpg,0,0.8517121
0,1,0,img_bdc86691-4bbe-4030-b39d-b8ff4c7445e5.jpg,9,0.8574173
0,1,0,img_b01cb5e0-33e5-4437-871c-224653f89296.jpg,4,0.8750574
0,0,0,img_428580d6-bb25-4f37-a2cd-a4b675f13a97.jpg,5,0.8486589
0,0,0,img_6b058be7-ec63-4f16-aa70-a5bf88fb2b29.jpg,3,0.890597
0,1,0,img_d2f1c99e-b768-4cef-b3a5-db0aa6b76471.jpg,2,0.8572211
0,0,0,img_5a6b566d-a157-4aad-b62d-893088fed35d.jpg,6,0.7791456
0,0,0,img_7dbe8536-1dda-48a9-a53e-ddff112ae45c.jpg,0,0.8054451
0,0,0,img_a2ac3418-0656-4a2e-8a11-d2d214a152dd.jpg,9,0.704162
0,1,0,img_e0f8c3ef-856d-4be6-8ce0-240bdaebba90.jpg,7,0.85779077
0,0,0,img_696a12a2-19e5-4b9b-8ffc-db420ec451b0.jpg,4,0.91015136
0,0,1,img_27293f3f-2e11-46ce-b4a9-e1df38413d9f.jpg,4,0.8966071
0,0,0,img_1ce58eef-8832-4acd-a0aa-37687aa4a0b3.jpg,0,0.6886379
0,1,1,img_c65c0196-6532-4711-9bc8-4b60441b5582.jpg,4,0.7550954
0,0,1,img_d9e22934-fa7f-4de2-a306-501082eb54c9.jpg,2,0.81747663
0,0,1,img_ffe24924-1208-4bee-bbb6-9a4e48c17a95.jpg,3,0.7062444
0,0,0,img_9f8c3697-0b42-451a-bf87-37c271b93362.jpg,1,0.88558435
0,1,0,img_c516444f-9979-4bc3-b54d-08e213b83125.jpg,4,0.77031076
0,0,1,img_a7495ab5-c966-48ba-bf94-f2b85406363e.jpg,8,0.77079624
0,0,0,img_7e6510de-a4fb-46b1-b506-f3682ed9144f.jpg,3,0.7130997
0,0,0,img_9d65e731-4d44-4aa8-b2c0-a0bd2fa43c4f.jpg,0,0.8073471
0,1,0,img_45e448eb-f4ec-45f4-88aa-748664a1e748.jpg,0,0.7033566
0,0,0,img_33546c6b-e22a-4562-96b1-fae79da1222a.jpg,6,0.90446806
0,0,0,img_ca4f2067-be74-408b-930c-1f56b5346b63.jpg,4,0.77882373
0,0,0,img_c081e3d2-b423-4036-9162-de39ee30c096.jpg,4,0.94328326
0,0,1,img_bfcce04a-2d08-4ef3-a645-b964330f0d02.jpg,4,0.81145
0,0,0,img_7bc55b31-652d-42e1-b262-2461b3ab3f9b.jpg,4,0.880586
0,0,0,img_a972461e-ec00-4db0-b2cf-50cd197f1a3a.jpg,6,0.8830304
0,1,0,img_25355be4-8b32-46d4-ada3-f54ad9864eff.jpg,3,0.72495383
0,0,0,img_3104acf3-cf04-48d8-b723-02e6fef72b10.jpg,6,0.928218
0,1,0,img_c5310af8-6ba1-451b-ae36-e7ea1cb5ac07.jpg,7,0.6869699
0,0,0,img_dfe66b33-b28d-4660-bfab-a55f23d7bb87.jpg,3,0.71367836
0,0,0,img_d115b7fa-c26a-4b29-bb9d-ad19239d67f5.jpg,6,0.7998184
0,0,0,img_e3074732-d3fa-4286-9cea-81fcaaf098ed.jpg,7,0.7336701
0,0,0,img_a4a26266-202f-46e9-8c62-c717cdac18dc.jpg,0,0.74463195
0,0,1,img_8c17208f-55ac-483a-afa6-966922632e09.jpg,6,0.9283942
0,1,1,img_b003b5fb-8546-4b40-8d7f-324f12cbde57.jpg,7,0.83900565
0,1,1,img_a55f8a1f-51d8-46f7-b69e-ead70faa870b.jpg,9,0.8895348
0,0,0,img_e301c677-e677-498d-ac08-a96743e35144.jpg,5,0.83361566
0,1,0,img_aadb3e9d-dc8f-4dbf-9f19-cb7bb1963ded.jpg,9,0.8900115
0,0,0,img_0f433aa7-8539-48d4-b74f-8e39f6ed7eda.jpg,4,0.8976083
0,0,0,img_e2d1cfd9-9e4e-4b44-9ccd-6d6226528429.jpg,8,0.8103244
0,1,0,img_5523e4f0-3c48-4f57-9b55-179ad3c9948b.jpg,3,0.7606411
