small_loss_estimate_clean,confidence_estimate_clean,gmm_estimate_clean,Image Name,Label,confidence_score
0,0,0,img_37cdf731-ae5b-4dcb-8c7b-d595e7324fb0.jpg,4,0.8558556
1,0,0,img_6ddd443c-3e96-4f29-a04a-245b091d7bd2.jpg,1,0.67009383
0,0,0,img_45389146-1ade-4678-a635-6b76f7a22ad7.jpg,0,0.743111
0,0,1,img_133e51d0-4aa3-4fe5-99ef-3dfe6cfe933c.jpg,4,0.8186264
0,0,1,img_999a8f68-6fc0-4839-8f74-3bc4bf0de326.jpg,0,0.84116286
0,0,0,img_428580d6-bb25-4f37-a2cd-a4b675f13a97.jpg,5,0.89425695
0,0,0,img_6b058be7-ec63-4f16-aa70-a5bf88fb2b29.jpg,3,0.64590603
0,0,0,img_5a6b566d-a157-4aad-b62d-893088fed35d.jpg,6,0.63739353
0,0,0,img_7dbe8536-1dda-48a9-a53e-ddff112ae45c.jpg,0,0.7093859
0,0,0,img_a2ac3418-0656-4a2e-8a11-d2d214a152dd.jpg,9,0.5438481
0,0,0,img_696a12a2-19e5-4b9b-8ffc-db420ec451b0.jpg,4,0.8369446
0,0,1,img_27293f3f-2e11-46ce-b4a9-e1df38413d9f.jpg,4,0.71936834
0,0,0,img_1ce58eef-8832-4acd-a0aa-37687aa4a0b3.jpg,0,0.6210643
0,0,1,img_d9e22934-fa7f-4de2-a306-501082eb54c9.jpg,2,0.80782825
0,0,1,img_ffe24924-1208-4bee-bbb6-9a4e48c17a95.jpg,3,0.7998338
0,0,0,img_9f8c3697-0b42-451a-bf87-37c271b93362.jpg,1,0.59476006
1,0,0,img_fee5d91d-099d-46ff-8568-2fa7cdee27f8.jpg,8,0.83354914
0,0,1,img_a7495ab5-c966-48ba-bf94-f2b85406363e.jpg,8,0.6339363
0,0,0,img_7e6510de-a4fb-46b1-b506-f3682ed9144f.jpg,3,0.87555104
0,0,0,img_9d65e731-4d44-4aa8-b2c0-a0bd2fa43c4f.jpg,0,0.6997409
0,0,0,img_33546c6b-e22a-4562-96b1-fae79da1222a.jpg,6,0.8579998
0,0,0,img_ca4f2067-be74-408b-930c-1f56b5346b63.jpg,4,0.63742477
0,0,0,img_c081e3d2-b423-4036-9162-de39ee30c096.jpg,4,0.66955256
0,0,1,img_bfcce04a-2d08-4ef3-a645-b964330f0d02.jpg,4,0.75003546
1,0,0,img_e2306f47-9add-4de1-98d2-164827b4b7e3.jpg,8,0.81946355
0,0,0,img_7bc55b31-652d-42e1-b262-2461b3ab3f9b.jpg,4,0.75500333
0,0,0,img_a972461e-ec00-4db0-b2cf-50cd197f1a3a.jpg,6,0.7943725
0,0,0,img_3104acf3-cf04-48d8-b723-02e6fef72b10.jpg,6,0.8347148
0,0,0,img_dfe66b33-b28d-4660-bfab-a55f23d7bb87.jpg,3,0.8846785
0,0,0,img_d115b7fa-c26a-4b29-bb9d-ad19239d67f5.jpg,6,0.59609324
0,0,0,img_e3074732-d3fa-4286-9cea-81fcaaf098ed.jpg,7,0.7686845
0,0,0,img_a4a26266-202f-46e9-8c62-c717cdac18dc.jpg,0,0.79779524
0,0,1,img_8c17208f-55ac-483a-afa6-966922632e09.jpg,6,0.7995499
1,0,1,img_22b44275-b5d5-469e-a5a1-4382f1e2332e.jpg,8,0.6008064
1,0,0,img_30d64843-a87d-45d0-9d2d-29fe52d56f9c.jpg,6,0.8825504
0,0,0,img_e301c677-e677-498d-ac08-a96743e35144.jpg,5,0.7017136
1,0,1,img_63d640a8-c99e-4d88-ae99-ab4075443514.jpg,8,0.6942453
0,0,0,img_0f433aa7-8539-48d4-b74f-8e39f6ed7eda.jpg,4,0.7991026
0,0,0,img_e2d1cfd9-9e4e-4b44-9ccd-6d6226528429.jpg,8,0.78606486
0,0,0,img_4a14ceb3-afb3-4139-84fe-897708ede979.jpg,3,0.635167
0,0,0,img_509daab6-857a-4acc-8717-94dc37ff2d22.jpg,9,0.86283433
0,0,0,img_857c0354-b455-4889-be5d-1d09b5192fe6.jpg,0,0.7649547
0,0,0,img_ea254bbb-441a-4f22-b58c-5de9c31c3387.jpg,8,0.63381016
0,0,1,img_ec6518ab-4cca-492a-983f-aa9964c0d2e0.jpg,5,0.74395317
0,0,1,img_795e5cf8-cf9b-4bbe-957f-eaa249f8d26f.jpg,0,0.7105366
0,0,0,img_8f6af699-bcda-4143-b3d6-92ee8e282784.jpg,3,0.55757743
0,0,0,img_782b8906-01e0-4a90-ae6d-cd7beb2a9c13.jpg,3,0.7649828
0,0,1,img_dc306dff-4905-4cae-a7c2-558b1a6b8fe8.jpg,1,0.71584696
0,0,1,img_a7987802-2bd8-433c-817e-f06ca5d7c05b.jpg,0,0.7177923
0,0,0,img_cec80a22-d9b5-44ac-a242-539f8c471a07.jpg,4,0.81316775
0,0,0,img_14146611-b9b1-4285-a307-4edccc8566a5.jpg,4,0.52465653
0,0,0,img_73ffccfc-5cc0-462c-bb4e-adf014dc0608.jpg,0,0.83900845
0,0,0,img_85d85d85-2848-4f99-bea3-fdf69bc22f63.jpg,3,0.7433192
1,0,0,img_14bc35cb-383c-42d9-a52c-f24df6b56190.jpg,1,0.613487
0,0,0,img_1f1a3a2a-2610-41a1-bb12-07a0e7294c89.jpg,0,0.64669335
1,0,1,img_f5c2ebf0-7d26-44ac-ac26-4f4cc42b1b64.jpg,8,0.6727199
1,0,1,img_e3805dd4-c7c9-485c-a86f-75f4fd61a605.jpg,6,0.8443735
