small_loss_estimate_clean,confidence_estimate_clean,gmm_estimate_clean,Image Name,Label,gmm_score
0,0,0,img_37cdf731-ae5b-4dcb-8c7b-d595e7324fb0.jpg,4,0.82930124
1,0,0,img_6ddd443c-3e96-4f29-a04a-245b091d7bd2.jpg,1,0.6648405
0,0,0,img_45389146-1ade-4678-a635-6b76f7a22ad7.jpg,0,0.62516797
0,1,0,img_52c783df-5462-4225-aa96-c7b7d111706c.jpg,4,0.79316366
0,1,0,img_bdc86691-4bbe-4030-b39d-b8ff4c7445e5.jpg,9,0.6332956
0,1,0,img_b01cb5e0-33e5-4437-871c-224653f89296.jpg,4,0.78345126
0,0,0,img_428580d6-bb25-4f37-a2cd-a4b675f13a97.jpg,5,0.9163252
0,0,0,img_6b058be7-ec63-4f16-aa70-a5bf88fb2b29.jpg,3,0.6466233
0,1,0,img_d2f1c99e-b768-4cef-b3a5-db0aa6b76471.jpg,2,0.6009117
0,0,0,img_5a6b566d-a157-4aad-b62d-893088fed35d.jpg,6,0.57751644
1,1,0,img_9b81173e-5fe8-4908-9eb5-edf42765ec68.jpg,7,0.6675193
0,0,0,img_7dbe8536-1dda-48a9-a53e-ddff112ae45c.jpg,0,0.7900013
0,0,0,img_a2ac3418-0656-4a2e-8a11-d2d214a152dd.jpg,9,0.61382794
0,1,0,img_e0f8c3ef-856d-4be6-8ce0-240bdaebba90.jpg,7,0.6726815
0,0,0,img_696a12a2-19e5-4b9b-8ffc-db420ec451b0.jpg,4,0.8434855
1,1,0,img_12c70ad4-1778-4e8e-b0f3-bb42a492d2ea.jpg,9,0.81657255
0,0,0,img_1ce58eef-8832-4acd-a0aa-37687aa4a0b3.jpg,0,0.5434469
0,0,0,img_9f8c3697-0b42-451a-bf87-37c271b93362.jpg,1,0.6192874
1,0,0,img_fee5d91d-099d-46ff-8568-2fa7cdee27f8.jpg,8,0.6688245
0,1,0,img_c516444f-9979-4bc3-b54d-08e213b83125.jpg,4,0.7748617
1,1,0,img_ee48b7b2-3880-47df-9f89-c75ccf7d4059.jpg,4,0.6284675
1,1,0,img_f71be063-4a54-4be8-a5d1-bd00af192759.jpg,0,0.55985415
0,0,0,img_7e6510de-a4fb-46b1-b506-f3682ed9144f.jpg,3,0.8079793
0,0,0,img_9d65e731-4d44-4aa8-b2c0-a0bd2fa43c4f.jpg,0,0.65600234
0,1,0,img_45e448eb-f4ec-45f4-88aa-748664a1e748.jpg,0,0.6353976
0,0,0,img_33546c6b-e22a-4562-96b1-fae79da1222a.jpg,6,0.78249353
0,0,0,img_ca4f2067-be74-408b-930c-1f56b5346b63.jpg,4,0.62985003
0,0,0,img_c081e3d2-b423-4036-9162-de39ee30c096.jpg,4,0.6606952
1,1,0,img_27671a88-6ccf-433a-b5f4-f36226a823d2.jpg,4,0.8452099
1,0,0,img_e2306f47-9add-4de1-98d2-164827b4b7e3.jpg,8,0.70789176
0,0,0,img_7bc55b31-652d-42e1-b262-2461b3ab3f9b.jpg,4,0.7866829
0,0,0,img_a972461e-ec00-4db0-b2cf-50cd197f1a3a.jpg,6,0.7585105
0,1,0,img_25355be4-8b32-46d4-ada3-f54ad9864eff.jpg,3,0.65952235
0,0,0,img_3104acf3-cf04-48d8-b723-02e6fef72b10.jpg,6,0.7668015
0,1,0,img_c5310af8-6ba1-451b-ae36-e7ea1cb5ac07.jpg,7,0.5882303
0,0,0,img_dfe66b33-b28d-4660-bfab-a55f23d7bb87.jpg,3,0.780095
0,0,0,img_d115b7fa-c26a-4b29-bb9d-ad19239d67f5.jpg,6,0.59882766
0,0,0,img_e3074732-d3fa-4286-9cea-81fcaaf098ed.jpg,7,0.61076516
0,0,0,img_a4a26266-202f-46e9-8c62-c717cdac18dc.jpg,0,0.67790943
1,1,0,img_f754e544-8a43-41cd-8073-52614eca1434.jpg,3,0.8737712
1,0,0,img_30d64843-a87d-45d0-9d2d-29fe52d56f9c.jpg,6,0.86207086
1,1,0,img_286ab97e-d259-43af-9e1c-116ebae4ab5a.jpg,4,0.818096
0,0,0,img_e301c677-e677-498d-ac08-a96743e35144.jpg,5,0.74029
0,1,0,img_aadb3e9d-dc8f-4dbf-9f19-cb7bb1963ded.jpg,9,0.79554516
0,0,0,img_0f433aa7-8539-48d4-b74f-8e39f6ed7eda.jpg,4,0.75407875
0,0,0,img_e2d1cfd9-9e4e-4b44-9ccd-6d6226528429.jpg,8,0.72501093
1,1,0,img_b02791dd-29b7-4c6f-bcc9-541bc21de76f.jpg,7,0.7536437
0,1,0,img_5523e4f0-3c48-4f57-9b55-179ad3c9948b.jpg,3,0.740392
0,0,0,img_4a14ceb3-afb3-4139-84fe-897708ede979.jpg,3,0.6606805
0,0,0,img_509daab6-857a-4acc-8717-94dc37ff2d22.jpg,9,0.7145711
0,0,0,img_857c0354-b455-4889-be5d-1d09b5192fe6.jpg,0,0.73789734
0,1,0,img_4cbd9f2f-c3d0-417c-aea1-7bb849a2112f.jpg,7,0.7843363
0,0,0,img_ea254bbb-441a-4f22-b58c-5de9c31c3387.jpg,8,0.5781206
1,1,0,img_05398876-6211-4303-b68e-3a2bd4e7e5fb.jpg,7,0.7199649
0,0,0,img_8f6af699-bcda-4143-b3d6-92ee8e282784.jpg,3,0.6715429
0,1,0,img_72401043-413f-4743-a3de-467874f5e4f6.jpg,6,0.6112243
0,0,0,img_782b8906-01e0-4a90-ae6d-cd7beb2a9c13.jpg,3,0.7797246
1,1,0,img_24bc4be6-9de8-4dc0-be1b-6b2576c954b4.jpg,9,0.71785134
0,0,0,img_cec80a22-d9b5-44ac-a242-539f8c471a07.jpg,4,0.81073934
0,1,0,img_605e6b69-9912-4207-a9b5-93802084c9e1.jpg,5,0.8177031
0,0,0,img_14146611-b9b1-4285-a307-4edccc8566a5.jpg,4,0.56102115
0,0,0,img_73ffccfc-5cc0-462c-bb4e-adf014dc0608.jpg,0,0.7945114
0,0,0,img_85d85d85-2848-4f99-bea3-fdf69bc22f63.jpg,3,0.68989825
1,0,0,img_14bc35cb-383c-42d9-a52c-f24df6b56190.jpg,1,0.639672
0,0,0,img_1f1a3a2a-2610-41a1-bb12-07a0e7294c89.jpg,0,0.6633142
0,1,0,img_e0629b1c-ac56-4ae5-8e77-265316f5bdb3.jpg,7,0.80960244
1,0,0,img_f56c2964-6649-40a9-82d7-6e627e3d5462.jpg,8,0.6885627
1,0,0,img_d250a58e-1e8f-4432-9fcf-99ecc464bbac.jpg,0,0.6815108
0,1,0,img_ef3ffc5d-c8be-44e9-b1af-81021127197e.jpg,0,0.740687
1,1,0,img_611d2253-5002-4e16-be39-151eaab36208.jpg,6,0.9035374
0,0,0,img_3f3b419e-3f42-4f8f-a0a2-ed2d597c91d5.jpg,4,0.76730895
0,0,0,img_a5552f38-8cc9-469a-b97c-1e92bce2fe4b.jpg,3,0.66476643
0,0,0,img_634241e4-0182-4d52-b837-5625a0bf04c9.jpg,3,0.69287074
0,0,0,img_acde30ed-d19b-4943-9c8e-e5162c016cf6.jpg,2,0.60780656
1,0,0,img_e1458139-e828-479a-a2f7-9212be7a60dc.jpg,5,0.8222502
0,1,0,img_3ccff054-7a39-4a4b-acc0-f228bec4851f.jpg,8,0.65404797
1,1,0,img_de6fdfd0-477f-4de8-ae81-a1bf52f4b17e.jpg,0,0.6498124
0,0,0,img_86324b1c-a0e1-4a8a-84ca-262cfa5366c9.jpg,7,0.7560637
1,1,0,img_89c9d425-8cd3-4c4f-b6f0-8a81aaa585bc.jpg,9,0.62246495
